Tarikh,Waktu,Negeri,Kawasan,API
1/1/2014,1:00PM,Perlis,Kangar,59
1/1/2014,1:00PM,Kedah,Langkawi,46
1/1/2014,1:00PM,Kedah,Alor Setar,35
1/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",57
1/1/2014,1:00PM,Pulau Pinang,USM,45
1/1/2014,1:00PM,Pulau Pinang,Perai,40
1/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",40
1/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",46
1/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",51
1/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",34
1/1/2014,1:00PM,Perak,Seri Manjung,34
1/1/2014,1:00PM,Perak,Tanjung Malim,39
1/1/2014,1:00PM,Selangor,Pelabuhan Kelang,63
1/1/2014,1:00PM,Selangor,Petaling Jaya,50
1/1/2014,1:00PM,Selangor,Banting,37
1/1/2014,1:00PM,Selangor,Shah Alam,52
1/1/2014,1:00PM,Selangor,Kuala Selangor,35
1/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",26
1/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",56
1/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,35
1/1/2014,1:00PM,Wilayah Persekutuan,Labuan,31
1/1/2014,1:00PM,Negeri Sembilan,Nilai,26
1/1/2014,1:00PM,Negeri Sembilan,Seremban,30
1/1/2014,1:00PM,Negeri Sembilan,Port Dickson,32
1/1/2014,1:00PM,Melaka,Bukit Rambai,68
1/1/2014,1:00PM,Melaka,Bandaraya Melaka,29
1/1/2014,1:00PM,Johor,Pasir Gudang,40
1/1/2014,1:00PM,Johor,Larkin Lama,35
1/1/2014,1:00PM,Johor,Muar,50
1/1/2014,1:00PM,Johor,Kota Tinggi,46
1/1/2014,1:00PM,Kelantan,Tanah Merah ,50
1/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",42
1/1/2014,1:00PM,Terengganu,Kemaman,43
1/1/2014,1:00PM,Terengganu,Paka,33
1/1/2014,1:00PM,Terengganu,Kuala Terengganu,41
1/1/2014,1:00PM,Pahang,Jerantut,27
1/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",40
1/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",37
1/1/2014,1:00PM,Sarawak,Kuching,22
1/1/2014,1:00PM,Sarawak,Sibu,23
1/1/2014,1:00PM,Sarawak,Bintulu,32
1/1/2014,1:00PM,Sarawak,Miri,25
1/1/2014,1:00PM,Sarawak,ILP Miri,16
1/1/2014,1:00PM,Sarawak,Sarikei,28
1/1/2014,1:00PM,Sarawak,Limbang,22
1/1/2014,1:00PM,Sarawak,Samarahan,34
1/1/2014,1:00PM,Sarawak,Sri Aman,31
1/1/2014,1:00PM,Sarawak,Kapit,25
1/1/2014,1:00PM,Sabah,Kota Kinabalu,40
1/1/2014,1:00PM,Sabah,Tawau,35
1/1/2014,1:00PM,Sabah,Keningau,42
1/1/2014,1:00PM,Sabah,Sandakan,30
2/1/2014,1:00PM,Perlis,Kangar,51
2/1/2014,1:00PM,Kedah,Langkawi,34
2/1/2014,1:00PM,Kedah,Alor Setar,31
2/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",51
2/1/2014,1:00PM,Pulau Pinang,USM,48
2/1/2014,1:00PM,Pulau Pinang,Perai,45
2/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",39
2/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",44
2/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",51
2/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",32
2/1/2014,1:00PM,Perak,Seri Manjung,28
2/1/2014,1:00PM,Perak,Tanjung Malim,45
2/1/2014,1:00PM,Selangor,Pelabuhan Kelang,70
2/1/2014,1:00PM,Selangor,Petaling Jaya,34
2/1/2014,1:00PM,Selangor,Banting,52
2/1/2014,1:00PM,Selangor,Shah Alam,43
2/1/2014,1:00PM,Selangor,Kuala Selangor,31
2/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",21
2/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",40
2/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,41
2/1/2014,1:00PM,Wilayah Persekutuan,Labuan,35
2/1/2014,1:00PM,Negeri Sembilan,Nilai,28
2/1/2014,1:00PM,Negeri Sembilan,Seremban,29
2/1/2014,1:00PM,Negeri Sembilan,Port Dickson,37
2/1/2014,1:00PM,Melaka,Bukit Rambai,66
2/1/2014,1:00PM,Melaka,Bandaraya Melaka,29
2/1/2014,1:00PM,Johor,Pasir Gudang,40
2/1/2014,1:00PM,Johor,Larkin Lama,40
2/1/2014,1:00PM,Johor,Muar,51
2/1/2014,1:00PM,Johor,Kota Tinggi,44
2/1/2014,1:00PM,Kelantan,Tanah Merah ,43
2/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",35
2/1/2014,1:00PM,Terengganu,Kemaman,48
2/1/2014,1:00PM,Terengganu,Paka,35
2/1/2014,1:00PM,Terengganu,Kuala Terengganu,34
2/1/2014,1:00PM,Pahang,Jerantut,27
2/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",45
2/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",45
2/1/2014,1:00PM,Sarawak,Kuching,27
2/1/2014,1:00PM,Sarawak,Sibu,12
2/1/2014,1:00PM,Sarawak,Bintulu,15
2/1/2014,1:00PM,Sarawak,Miri,20
2/1/2014,1:00PM,Sarawak,ILP Miri,14
2/1/2014,1:00PM,Sarawak,Sarikei,24
2/1/2014,1:00PM,Sarawak,Limbang,20
2/1/2014,1:00PM,Sarawak,Samarahan,25
2/1/2014,1:00PM,Sarawak,Sri Aman,19
2/1/2014,1:00PM,Sabah,Kota Kinabalu,35
2/1/2014,1:00PM,Sabah,Keningau,43
2/1/2014,1:00PM,Sabah,Sandakan,28
3/1/2014,1:00PM,Perlis,Kangar,52
3/1/2014,1:00PM,Kedah,Langkawi,34
3/1/2014,1:00PM,Kedah,Alor Setar,30
3/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",52
3/1/2014,1:00PM,Pulau Pinang,USM,57
3/1/2014,1:00PM,Pulau Pinang,Perai,38
3/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",34
3/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",39
3/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",35
3/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",35
3/1/2014,1:00PM,Perak,Seri Manjung,26
3/1/2014,1:00PM,Perak,Tanjung Malim,31
3/1/2014,1:00PM,Selangor,Pelabuhan Kelang,54
3/1/2014,1:00PM,Selangor,Petaling Jaya,36
3/1/2014,1:00PM,Selangor,Banting,49
3/1/2014,1:00PM,Selangor,Shah Alam,39
3/1/2014,1:00PM,Selangor,Kuala Selangor,18
3/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",22
3/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",36
3/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,32
